Designator,Mid X,Mid Y,Rotation,Layer
C1,122.92125,-39.4675,180.0,bottom
C2,105.82125,-35.9475,180.0,bottom
C3,119.53125,-35.3375,0.0,bottom
C4,105.88625,-41.7675,0.0,bottom
C5,105.85125,-37.5375,180.0,bottom
C6,109.54625,-28.7775,0.0,bottom
C7,121.61625,-31.0975,90.0,bottom
D1,96.14,-61.659999,0.0,bottom
D10,115.19,-99.759999,0.0,bottom
D11,134.24,-99.759999,0.0,bottom
D12,96.14,-118.809999,0.0,bottom
D13,115.19,-118.809999,0.0,bottom
D14,134.24,-118.809999,0.0,bottom
D15,153.29,-128.334999,0.0,bottom
D16,105.665,-137.859999,0.0,bottom
D17,134.24,-137.859999,0.0,bottom
D2,115.19,-61.659999,0.0,bottom
D3,134.24,-61.659999,0.0,bottom
D4,153.29,-61.659999,0.0,bottom
D5,96.14,-80.709999,0.0,bottom
D6,115.19,-80.709999,0.0,bottom
D7,134.24,-80.709999,0.0,bottom
D8,153.29,-90.234999,0.0,bottom
D9,96.14,-99.759999,0.0,bottom
E1,155.17625,-32.4875,0.0,top
H1,94.09625,-137.00375,0.0,top
H2,165.53375,-137.00375,0.0,top
H3,165.53375,-29.8475,0.0,top
H4,94.09625,-29.8475,0.0,top
J1,129.79125,-27.5125,180.0,bottom
J2,101.80125,-33.6675,90.0,top
J3,101.85625,-36.3975,90.0,bottom
J4,91.19625,-83.4255,0.0,top
L1,101.24,-49.66,180.0,bottom
L10,120.29,-87.76,180.0,bottom
L11,139.34,-87.76,180.0,bottom
L12,101.24,-106.81,0.0,bottom
L13,120.29,-106.81,0.0,bottom
L14,139.34,-106.81,0.0,bottom
L15,158.39,-116.335,0.0,bottom
L16,110.765,-125.86,180.0,bottom
L17,139.34,-125.86,180.0,bottom
L2,120.29,-49.66,180.0,bottom
L3,139.34,-49.66,180.0,bottom
L4,158.39,-49.66,180.0,bottom
L5,101.24,-68.71,0.0,bottom
L6,120.29,-68.71,0.0,bottom
L7,139.34,-68.71,0.0,bottom
L8,158.39,-78.235,0.0,bottom
L9,101.24,-87.76,180.0,bottom
P1,105.96625,-33.3275,180.0,bottom
P2,111.22625,-46.9175,0.0,bottom
R1,127.26625,-34.3375,270.0,bottom
R2,132.03625,-34.3075,270.0,bottom
R3,109.98625,-34.0375,180.0,bottom
R4,119.498679,-37.135552,0.0,bottom
R5,119.498679,-38.595552,0.0,bottom
R6,114.61625,-45.8875,270.0,bottom
R7,116.08625,-45.8575,270.0,bottom
SW1,101.24,-53.66,180.0,top
SW10,120.29,-91.76,180.0,top
SW11,139.34,-91.76,180.0,top
SW12,101.24,-110.81,180.0,top
SW13,120.29,-110.81,180.0,top
SW14,139.34,-110.81,180.0,top
SW15,158.39,-120.335,180.0,top
SW16,110.765,-129.86,180.0,top
SW17,139.34,-129.86,180.0,top
SW2,120.29,-53.66,180.0,top
SW3,139.34,-53.66,180.0,top
SW4,158.39,-53.66,180.0,top
SW5,101.24,-72.71,180.0,top
SW6,120.29,-72.71,180.0,top
SW7,139.34,-72.71,180.0,top
SW8,158.39,-82.235,180.0,top
SW9,101.24,-91.76,180.0,top
U1,113.31625,-39.08,180.0,bottom
U2,122.66625,-43.415,90.0,bottom
U3,116.22625,-30.44,0.0,bottom
Y1,107.03625,-39.6875,0.0,bottom
