Designator,Mid X,Mid Y,Rotation,Layer
R1,309.14775,-114.145,0.0,bottom
R10,248.66025,-35.955,0.0,bottom
R11,243.62775,-44.755,270.0,bottom
R12,245.08775,-44.755,90.0,bottom
R13,235.20775,-31.825,0.0,bottom
R14,285.64775,-55.1775,90.0,bottom
R2,309.04775,-119.345,0.0,bottom
R3,309.10775,-102.215,0.0,bottom
R4,309.13775,-107.335,0.0,bottom
R5,283.44775,-35.585,270.0,bottom
R6,289.02775,-35.615,270.0,bottom
R7,266.69775,-35.715,270.0,bottom
R8,269.70775,-35.655,270.0,bottom
R9,248.66025,-34.485,0.0,bottom
SW1,40.3815,-54.2075,180.0,top
SW10,211.8315,-54.2075,180.0,top
SW11,230.8815,-54.2075,180.0,top
SW12,249.9315,-54.2075,180.0,top
SW13,268.9815,-54.2075,180.0,top
SW14,297.5565,-54.2075,180.0,top
SW15,45.144,-73.2575,180.0,top
SW16,68.9565,-73.2575,180.0,top
SW17,88.0065,-73.2575,180.0,top
SW18,107.0565,-73.2575,180.0,top
SW19,126.1065,-73.2575,180.0,top
SW2,59.4315,-54.2075,180.0,top
SW20,145.1565,-73.2575,180.0,top
SW21,164.2065,-73.2575,180.0,top
SW22,183.2565,-73.2575,180.0,top
SW23,202.3065,-73.2575,180.0,top
SW24,221.3565,-73.2575,180.0,top
SW25,240.4065,-73.2575,180.0,top
SW26,259.4565,-73.2575,180.0,top
SW27,278.5065,-73.2575,180.0,top
SW28,302.319,-73.2575,180.0,top
SW29,47.52525,-92.3075,180.0,top
SW3,78.4815,-54.2075,180.0,top
SW30,73.719,-92.3075,180.0,top
SW31,92.769,-92.3075,180.0,top
SW32,111.819,-92.3075,180.0,top
SW33,130.869,-92.3075,180.0,top
SW34,149.919,-92.3075,180.0,top
SW35,168.969,-92.3075,180.0,top
SW36,188.019,-92.3075,180.0,top
SW37,207.069,-92.3075,180.0,top
SW38,226.119,-92.3075,180.0,top
SW39,245.169,-92.3075,180.0,top
SW4,97.5315,-54.2075,180.0,top
SW40,264.219,-92.3075,180.0,top
SW41,295.17525,-92.3075,180.0,top
SW42,52.28775,-111.3575,180.0,top
SW43,83.244,-111.3575,180.0,top
SW44,102.294,-111.3575,180.0,top
SW45,121.344,-111.3575,180.0,top
SW46,140.394,-111.3575,180.0,top
SW47,159.444,-111.3575,180.0,top
SW48,178.494,-111.3575,180.0,top
SW49,197.544,-111.3575,180.0,top
SW5,116.5815,-54.2075,180.0,top
SW50,216.594,-111.3575,180.0,top
SW51,235.644,-111.3575,180.0,top
SW52,254.694,-111.3575,180.0,top
SW53,290.41275,-111.3575,180.0,top
SW54,42.76275,-130.4075,180.0,top
SW55,66.57525,-130.4075,180.0,top
SW56,90.38775,-130.4075,180.0,top
SW57,161.82525,-130.4075,180.0,top
SW58,233.26275,-130.4075,180.0,top
SW59,257.07525,-130.4075,180.0,top
SW6,135.6315,-54.2075,180.0,top
SW60,280.88775,-130.4075,180.0,top
SW61,304.70025,-130.4075,180.0,top
SW62,43.2165,-33.3125,180.0,top
SW63,237.42775,-45.475,0.0,bottom
SW64,250.74775,-31.255,0.0,bottom
SW7,154.6815,-54.2075,180.0,top
SW8,173.7315,-54.2075,180.0,top
SW9,192.7815,-54.2075,180.0,top
U10,308.99775,-104.795,180.0,bottom
U4,242.22775,-36.495,180.0,bottom
U5,228.09025,-37.305,270.0,bottom
U6,252.24525,-41.9,90.0,bottom
U7,283.00775,-46.775,270.0,bottom
U8,286.19775,-36.905,90.0,bottom
U9,309.03775,-116.725,180.0,bottom
Y2,235.21775,-39.555,0.0,bottom
Y3,288.85775,-42.425,180.0,bottom
